,lon,lat,variable
277,-89.0310984067493,42.45609797768733,1
278,-81.4218377048392,35.56704745874169,1
279,-79.06547648524739,40.81228983616316,2
280,-99.31300909709744,38.8904961843816,3
281,-83.61558957742915,31.17079926244141,2
282,-89.70951521266896,38.18302397536974,3
283,-98.94405764279948,40.74302653749077,2
284,-84.76638212757467,33.32476418405674,1
285,-85.38082060980939,36.88669499530616,2
286,-121.74167385937488,38.654677309159226,1
287,-122.77203042377538,47.53687321523955,1
288,-93.4757178777594,36.647179620846,2
289,-91.65215596806894,35.71644673036244,2
290,-85.70684240012729,38.83946378559501,2
291,-89.98187266801064,34.306791024830815,3
292,-91.37626969962253,40.41220272431027,3
293,-82.34895133337585,36.47715483290799,1
294,-124.20404308320998,43.334482808022486,2
295,-85.99891591885833,38.52832408152149,1
296,-87.90522693194542,30.48736263529716,3
297,-78.2142594175863,35.21785634828826,1
298,-78.18309608231786,35.572673641026526,1
299,-83.75005035626252,34.01295170450907,1
300,-90.64343952202086,30.376228719876693,1
301,-86.7355137393561,31.78222107410597,2
302,-73.71290862540886,42.29967748625656,2
303,-95.63098296833346,33.14441308758041,3
304,-75.37844601583483,42.56850409596981,2
305,-78.64930107638416,36.5150040955119,2
306,-71.94524714686567,41.85612552036927,2
307,-93.17847279984656,45.691286644432765,1
308,-83.27909451320693,37.44762502202661,2
309,-94.99007314933311,33.56580537392542,3
310,-98.95179285087896,29.1786112246377,1
311,-96.70566010739724,40.291969402725805,3
312,-82.4509496418293,36.66920160412393,1
313,-99.06808438408324,28.833363540781644,2
314,-81.14734932692362,35.409702308704084,2
315,-89.99558259844989,38.12246513472319,2
316,-85.64732772377096,41.957736039373984,3
317,-76.79263765464773,40.86564794853852,3
318,-84.1469261415184,36.99819790122759,2
319,-75.01530420866494,40.84421964227703,1
320,-94.8744721674884,43.40605102096443,2
321,-95.5064102564036,38.6876256138538,1
322,-69.46349559967328,44.32657208926036,2
323,-77.19462105626525,38.09153409195272,1
324,-109.68417661761328,48.528361859592806,3
325,-87.27179135467485,36.39781565334145,1
326,-83.41794884925434,30.957754777507557,1
327,-84.86569467661828,37.73845753360869,2
328,-87.05132936681159,31.123303090695043,3
329,-76.10184195785071,40.15111919089915,1
330,-70.49557102564995,43.55613278877198,1
331,-90.2722550125053,39.748782495893394,3
332,-79.62329365478836,41.71877788430805,2
333,-83.99572028311788,37.156347541207865,2
334,-82.38354901467653,28.86335376497153,2
335,-95.83879266362052,32.181141375261134,3
336,-78.06104546681551,39.54764104781951,1
337,-85.19598924413613,44.74627096234188,2
338,-83.66803894305154,33.843352229000786,1
339,-71.93780976912068,43.18448229788719,1
340,-82.05075491106771,40.01179019598454,2
341,-123.09180667796682,46.30477315228695,1
342,-107.29344049567102,39.40537788106068,3
343,-94.2306810036045,37.42174996864962,2
344,-91.97602202338182,46.86136566317701,1
345,-77.16276184894029,43.24777203263154,1
346,-78.93212832356583,38.23469088728422,2
347,-84.47592372359897,39.53444278456261,1
348,-101.72729093627964,30.95365214516775,2
349,-91.68809398143485,41.89474525814392,1
350,-93.47417153767356,34.58047337688585,2
351,-74.76208950836272,43.083051372863785,2
352,-88.54100529004226,45.4880787387735,2
353,-82.63108357240645,28.428324498507852,1
354,-79.667994540783,37.09997146430723,1
355,-84.50791153484454,41.4484238865476,2
356,-75.30243224098594,39.67007978794998,1
357,-86.17210864689805,43.11568858367141,1
358,-112.70726420157312,48.02422826675182,2
359,-85.50521022587873,43.07251995537752,1
360,-92.08969683858588,31.06789409966915,2
361,-88.78866551089601,34.24978480107149,3
362,-90.72552277835167,41.55179111689564,1
363,-122.55694769859596,44.02451800176273,1
364,-111.3296445414291,44.093756220537216,2
365,-96.89136324959688,28.426532250823488,2
366,-80.17302630457426,40.41719015119696,1
367,-82.88679033609681,30.106042952199285,2
368,-81.3998011835719,27.799356997143896,1
369,-88.80645693711912,35.44280561123378,1
370,-87.44947249576178,46.31624063708488,2
371,-77.58817473281565,40.2199147645206,1
372,-94.545085625689,40.56968469065954,2
373,-89.67113768268696,34.74571628975602,1
374,-95.55445538706,30.71162805601606,3
375,-93.3100171239534,31.623173359362788,2
376,-90.08636784933688,43.78318257854293,3
377,-80.40239529834403,33.83250827976311,1
378,-81.96654065927108,27.29529359838445,2
379,-79.10456745880006,34.27700345594268,2
380,-79.2048449506424,41.20118616911943,2
381,-109.29759055728532,41.67389382444528,3
382,-101.12844080084402,43.16730107206987,2
383,-80.99397066813258,32.30560967629224,3
384,-108.26504684169124,43.05730682312668,2
385,-94.41667555100972,36.33456454686156,1
386,-93.09582790328068,35.26192873109289,2
387,-76.10466142610413,38.85442030224965,2
388,-78.52101513515896,42.95884992443231,1
389,-72.28067772715643,42.94826138784667,3
390,-85.91820511562675,31.72306636606772,3
391,-89.92478409942535,31.73334085092385,2
392,-83.3002761786753,37.25073390407934,3
393,-83.9642457387358,34.35166091701834,1
394,-114.65968242857149,42.72156920572268,2
395,-122.04470785734144,40.8313687450572,1
396,-82.27500390326512,30.635016771510287,3
397,-71.35306802775477,42.72443653511334,1
398,-97.62583751222569,38.78238372660412,3
399,-85.69445294862851,35.642677283798285,2
400,-96.31291225185365,40.81983814288139,1
401,-100.77175205641834,41.12702030224904,3
402,-77.68531128388027,36.178812282104985,2
403,-78.94342523898987,33.76393666779961,1
404,-82.18306141315657,35.04326796033448,1
405,-85.64815901503027,41.64511017214454,2
406,-79.44061664275365,35.1139416493162,2
407,-89.23265675682423,37.694046752194815,3
408,-84.38802156430094,42.35774372891769,1
409,-80.23531033142643,39.77929109700708,2
410,-90.30312372237066,43.374905960158834,2
411,-87.41160835991299,35.18075790233318,3
412,-82.11802113217924,34.172877134232714,3
413,-122.22965693418566,37.36413236330456,1
414,-95.10391125989148,30.208041491823067,1
415,-83.24205742338074,35.50346574868322,2
416,-83.49342782752679,40.49208160003421,1
417,-105.48437737766078,41.30084248273132,3
418,-79.52852395722388,33.42001573437421,3
419,-123.27489160750234,42.879001779779166,2
420,-95.8999829007237,35.34247931309321,2
421,-106.08855103308572,38.437659879533896,3
422,-95.6414839859446,35.94768394019851,1
423,-90.20320241259328,41.83653201184133,3
424,-79.78296620095286,38.8921429045103,2
425,-78.35079295976684,35.70761420200637,1
426,-89.49550573848275,41.82396668011747,3
427,-86.22490661979874,34.16926038299236,2
428,-96.00605201684937,28.948407102096954,3
429,-98.02099984447814,43.69902956157733,3
430,-82.7540784082966,30.041411267124342,2
431,-94.73193465662828,35.448899611341965,1
432,-85.88942011314519,38.94935640416328,3
433,-86.88758556466345,39.11136322346602,1
434,-80.29134891426224,39.53870036376121,2
435,-78.63277196802852,43.26454972907922,1
436,-90.03503268434382,45.94015857493247,2
437,-98.01155009537965,26.324925469083645,1
